#{"t_start": 1622333509.55072, "env_id": "BZ-Mario-1-2-v0"}
r,l,t
292.0,158,6.947725
882.0,546,18.639193
976.0,510,31.101021
882.0,474,101.385346
822.0,480,112.615649
326.0,255,119.211653
1054.0,553,259.812534
1050.0,552,275.680934
1046.0,544,431.020136
1060.0,560,444.328965
1060.0,553,624.03
1212.0,1842,831.881162
1044.0,572,845.459973
958.0,518,973.224017
884.0,470,984.413631
1060.0,562,1097.757221
738.0,410,1111.030913
1060.0,558,1124.102585
816.0,508,1289.479096
882.0,472,1302.766625
1066.0,563,1465.565198
1214.0,1406,1649.509494
1214.0,1613,1809.028314
814.0,415,1819.752862
944.0,500,1966.922203
976.0,514,1980.34273
1214.0,1601,2151.107527
1060.0,563,2304.013561
1018.0,534,2317.628558
1060.0,572,2483.459127
880.0,674,2503.055845
884.0,1019,2689.784092
1206.0,1529,2848.23573
1212.0,1698,3050.59684
1110.0,1279,3227.198854
1212.0,1376,3534.777781
1110.0,1301,3684.572971
1016.0,529,3699.272409
366.0,195,3705.155123
1110.0,1306,3889.210176
1110.0,1285,4090.881399
736.0,403,4103.468589
1032.0,534,4269.443002
1212.0,1894,4478.806112
966.0,506,4715.84054
882.0,578,4734.813559
1200.0,1969,5198.758126
330.0,559,5215.217246
1212.0,1971,5685.114599
964.0,506,5702.077428
322.0,321,5712.647007
876.0,536,5949.240558
1060.0,553,5964.359105
1110.0,1354,6153.169287
1032.0,531,6304.504546
958.0,502,6314.858076
1034.0,544,6423.74051
884.0,523,6434.048644
968.0,498,6442.862605
1060.0,560,6552.781196
1062.0,563,6564.17189
1198.0,1346,6685.469127
158.0,102,6687.659966
1030.0,528,6816.144232
886.0,569,6830.667392
1052.0,549,6991.620144
1032.0,524,7007.785783
886.0,577,7022.24351
1110.0,1281,7183.847618
1024.0,538,7343.773303
1190.0,1345,7561.858171
1014.0,537,7576.565613
